Phi[deg],Theta[deg],Gain[dB]
1,48,2.2575e+00
1,49,2.1415e+00
1,50,2.0245e+00
1,51,1.9065e+00
1,52,1.7876e+00
1,53,1.6678e+00
1,54,1.5474e+00
1,55,1.4262e+00
1,56,1.3044e+00
1,57,1.1821e+00
1,58,1.0593e+00
1,59,9.3605e-01
1,60,8.1253e-01
1,61,6.8875e-01
1,62,5.6481e-01
1,63,4.4078e-01
1,64,3.1673e-01
1,65,1.9274e-01
1,66,6.8900e-02
1,67,-5.4720e-02
1,68,-1.7805e-01
1,69,-3.0100e-01
1,70,-4.2350e-01
1,71,-5.4548e-01
1,72,-6.6686e-01
1,73,-7.8757e-01
1,74,-9.0755e-01
1,75,-1.0267e+00
1,76,-1.1450e+00
1,77,-1.2625e+00
1,78,-1.3789e+00
1,79,-1.4943e+00
1,80,-1.6087e+00
1,81,-1.7219e+00
1,82,-1.8340e+00
1,83,-1.9450e+00
1,84,-2.0548e+00
1,85,-2.6698e+00
1,86,-2.5661e+00
1,87,-2.4611e+00
1,88,-2.3548e+00
1,89,-2.2473e+00
1,90,-2.1385e+00
1,91,-2.0285e+00
1,92,-1.9174e+00
1,93,-1.8052e+00
1,94,-1.6919e+00
1,95,-1.5777e+00
1,96,-1.4626e+00
1,97,-1.3467e+00
1,98,-1.2299e+00
1,99,-1.1125e+00
1,100,-9.9445e-01
1,101,-8.7586e-01
1,102,-7.5680e-01
1,103,-6.3734e-01
1,104,-5.1758e-01
1,105,-3.9759e-01
1,106,-2.7746e-01
1,107,-1.5725e-01
1,108,-3.7050e-02
1,109,8.3060e-02
1,110,2.0300e-01
1,111,3.2271e-01
1,112,4.4210e-01
1,113,5.6110e-01
1,114,6.7964e-01
1,115,7.9766e-01
1,116,9.1508e-01
1,117,1.0319e+00
1,118,1.1479e+00
1,119,1.2632e+00
1,120,1.3777e+00
1,121,1.4912e+00
1,122,1.6039e+00
1,123,1.7156e+00
1,124,1.8262e+00
1,125,1.9358e+00
1,126,2.0443e+00
1,127,2.1517e+00
1,128,2.2579e+00
1,129,2.3630e+00
1,130,2.4668e+00
1,131,2.5693e+00
1,132,2.6706e+00
1,133,2.7707e+00
1,134,2.8693e+00
1,135,2.9667e+00
1,136,3.0627e+00
1,137,3.1574e+00
1,138,3.2506e+00
1,139,3.3425e+00
1,140,3.4329e+00
1,141,3.5219e+00
1,142,3.6094e+00
1,143,3.6955e+00
1,144,3.7800e+00
1,145,3.8630e+00
1,146,3.9444e+00
1,147,4.0242e+00
1,148,4.1024e+00
1,149,4.1790e+00
1,150,4.2538e+00
1,151,4.3270e+00
1,152,4.3983e+00
1,153,4.4679e+00
1,154,4.5356e+00
1,155,4.6013e+00
1,156,4.6652e+00
1,157,4.7270e+00
1,158,4.7867e+00
1,159,4.8444e+00
1,160,4.8998e+00
1,161,4.9531e+00
1,162,5.0040e+00
1,163,5.0526e+00
1,164,5.0988e+00
1,165,5.1426e+00
1,166,5.1838e+00
1,167,5.2225e+00
1,168,5.2585e+00
1,169,5.2919e+00
1,170,5.3225e+00
1,171,5.3503e+00
1,172,5.3753e+00
1,173,5.3975e+00
1,174,5.4167e+00
1,175,5.4330e+00
1,176,5.4462e+00
1,177,5.4565e+00
1,178,5.4637e+00
1,179,5.4678e+00
2,0,5.4623e+00
2,1,5.4602e+00
2,2,5.4549e+00
2,3,5.4466e+00
2,4,5.4351e+00
2,5,5.4204e+00
2,6,5.4026e+00
2,7,5.3816e+00
2,8,5.3575e+00
2,9,5.3303e+00
2,10,5.2999e+00
2,11,5.2665e+00
2,12,5.2300e+00
2,13,5.1905e+00
2,14,5.1479e+00
2,15,5.1024e+00
2,16,5.0540e+00
2,17,5.0026e+00
2,18,4.9484e+00
2,19,4.8914e+00
2,20,4.8316e+00
2,21,4.7690e+00
2,22,4.7038e+00
2,23,4.6360e+00
2,24,4.5655e+00
2,25,4.4926e+00
2,26,4.4172e+00
2,27,4.3394e+00
2,28,4.2592e+00
2,29,4.1767e+00
2,30,4.0920e+00
2,31,4.0051e+00
2,32,3.9160e+00
2,33,3.8249e+00
2,34,3.7318e+00
2,35,3.6368e+00
2,36,3.5398e+00
2,37,3.4410e+00
2,38,3.3405e+00
2,39,3.2382e+00
2,40,3.1343e+00
2,41,3.0288e+00
2,42,2.9218e+00
2,43,2.8133e+00
2,44,2.7034e+00
2,45,2.5921e+00
2,46,2.4796e+00
2,47,2.3658e+00
